cardNumber,cardHolder,policyOwner,expirationDate
card-0000000001,Alice Johnson,Alice Johnson,2025-01-01
card-0000000002,Bob Thompson,Bob Thompson,2025-02-01
card-0000000003,Charlie Davis,Charlie Davis,2025-03-01
card-0000000004,Diane Evans,Diane Evans,2025-04-01
card-0000000005,Ellen Hayes,Ellen Hayes,2025-05-01
card-0000000006,Franklin Gage,Franklin Gage,2025-06-01
card-0000000007,Grace Iver,Grace Iver,2025-07-01
card-0000000008,Hank Julep,Hank Julep,2025-08-01
card-0000000009,Ian Kelp,Ian Kelp,2025-09-01
card-0000000010,Jasmine Lark,Jasmine Lark,2025-10-01
card-0000000011,Karl Mote,Karl Mote,2025-11-01
card-0000000012,Louise Nite,Louise Nite,2025-12-01
card-0000000013,Martin Ovel,Martin Ovel,2026-01-01
card-0000000014,Nancy Peak,Nancy Peak,2026-02-01
card-0000000015,Oscar Quill,Oscar Quill,2026-03-01
